,0,1,2
0,8Ball,Beer,Beer
1,8Ball,Beer,Board
2,8Ball,Beer,Books
3,8Ball,Beer,Bookshelf
4,8Ball,Beer,Boombox
5,8Ball,Beer,Cap
6,8Ball,Beer,Fish
7,8Ball,Beer,Coffee
8,8Ball,Beer,Flower
9,8Ball,Beer,Glasses
10,8Ball,Beer,Guitar
11,8Ball,Beer,Lamp
12,8Ball,Beer,Light
13,8Ball,Beer,Martini
14,8Ball,Beer,Moneyplant
15,8Ball,Beer,Pizza
16,8Ball,Beer,Cheeseplant
17,8Ball,Beer,Rubberplant
18,8Ball,Beer,Skull
19,8Ball,Beer,Trailingplant
20,8Ball,Beer,Umbrella
21,8Ball,Beer,Windowday
22,8Ball,Beer,Windownight
23,8Ball,Beer,Wine
24,8Ball,Board,Beer
25,8Ball,Board,Board
26,8Ball,Board,Books
27,8Ball,Board,Bookshelf
28,8Ball,Board,Boombox
29,8Ball,Board,Cap
30,8Ball,Board,Fish
31,8Ball,Board,Coffee
32,8Ball,Board,Flower
33,8Ball,Board,Glasses
34,8Ball,Board,Guitar
35,8Ball,Board,Lamp
36,8Ball,Board,Light
37,8Ball,Board,Martini
38,8Ball,Board,Moneyplant
39,8Ball,Board,Pizza
40,8Ball,Board,Cheeseplant
41,8Ball,Board,Rubberplant
42,8Ball,Board,Skull
43,8Ball,Board,Trailingplant
44,8Ball,Board,Umbrella
45,8Ball,Board,Windowday
46,8Ball,Board,Windownight
47,8Ball,Board,Wine
48,8Ball,Books,Beer
49,8Ball,Books,Board
50,8Ball,Books,Books
51,8Ball,Books,Bookshelf
52,8Ball,Books,Boombox
53,8Ball,Books,Cap
54,8Ball,Books,Fish
55,8Ball,Books,Coffee
56,8Ball,Books,Flower
57,8Ball,Books,Glasses
58,8Ball,Books,Guitar
59,8Ball,Books,Lamp
60,8Ball,Books,Light
61,8Ball,Books,Martini
62,8Ball,Books,Moneyplant
63,8Ball,Books,Pizza
64,8Ball,Books,Cheeseplant
65,8Ball,Books,Rubberplant
66,8Ball,Books,Skull
67,8Ball,Books,Trailingplant
68,8Ball,Books,Umbrella
69,8Ball,Books,Windowday
70,8Ball,Books,Windownight
71,8Ball,Books,Wine
72,8Ball,Bookshelf,Beer
73,8Ball,Bookshelf,Board
74,8Ball,Bookshelf,Books
75,8Ball,Bookshelf,Bookshelf
76,8Ball,Bookshelf,Boombox
77,8Ball,Bookshelf,Cap
78,8Ball,Bookshelf,Fish
79,8Ball,Bookshelf,Coffee
80,8Ball,Bookshelf,Flower
81,8Ball,Bookshelf,Glasses
82,8Ball,Bookshelf,Guitar
83,8Ball,Bookshelf,Lamp
84,8Ball,Bookshelf,Light
85,8Ball,Bookshelf,Martini
86,8Ball,Bookshelf,Moneyplant
87,8Ball,Bookshelf,Pizza
88,8Ball,Bookshelf,Cheeseplant
89,8Ball,Bookshelf,Rubberplant
90,8Ball,Bookshelf,Skull
91,8Ball,Bookshelf,Trailingplant
92,8Ball,Bookshelf,Umbrella
93,8Ball,Bookshelf,Windowday
94,8Ball,Bookshelf,Windownight
95,8Ball,Bookshelf,Wine
96,8Ball,Boombox,Beer
97,8Ball,Boombox,Board
98,8Ball,Boombox,Books
99,8Ball,Boombox,Bookshelf
100,8Ball,Boombox,Boombox
101,8Ball,Boombox,Cap
102,8Ball,Boombox,Fish
103,8Ball,Boombox,Coffee
104,8Ball,Boombox,Flower
105,8Ball,Boombox,Glasses
106,8Ball,Boombox,Guitar
107,8Ball,Boombox,Lamp
108,8Ball,Boombox,Light
109,8Ball,Boombox,Martini
110,8Ball,Boombox,Moneyplant
111,8Ball,Boombox,Pizza
112,8Ball,Boombox,Cheeseplant
113,8Ball,Boombox,Rubberplant
114,8Ball,Boombox,Skull
115,8Ball,Boombox,Trailingplant
116,8Ball,Boombox,Umbrella
117,8Ball,Boombox,Windowday
118,8Ball,Boombox,Windownight
119,8Ball,Boombox,Wine
120,8Ball,Cap,Beer
121,8Ball,Cap,Board
122,8Ball,Cap,Books
123,8Ball,Cap,Bookshelf
124,8Ball,Cap,Boombox
125,8Ball,Cap,Cap
126,8Ball,Cap,Fish
127,8Ball,Cap,Coffee
128,8Ball,Cap,Flower
129,8Ball,Cap,Glasses
130,8Ball,Cap,Guitar
131,8Ball,Cap,Lamp
132,8Ball,Cap,Light
133,8Ball,Cap,Martini
134,8Ball,Cap,Moneyplant
135,8Ball,Cap,Pizza
136,8Ball,Cap,Cheeseplant
137,8Ball,Cap,Rubberplant
138,8Ball,Cap,Skull
139,8Ball,Cap,Trailingplant
140,8Ball,Cap,Umbrella
141,8Ball,Cap,Windowday
142,8Ball,Cap,Windownight
143,8Ball,Cap,Wine
144,8Ball,Fish,Beer
145,8Ball,Fish,Board
146,8Ball,Fish,Books
147,8Ball,Fish,Bookshelf
148,8Ball,Fish,Boombox
149,8Ball,Fish,Cap
150,8Ball,Fish,Fish
151,8Ball,Fish,Coffee
152,8Ball,Fish,Flower
153,8Ball,Fish,Glasses
154,8Ball,Fish,Guitar
155,8Ball,Fish,Lamp
156,8Ball,Fish,Light
157,8Ball,Fish,Martini
158,8Ball,Fish,Moneyplant
159,8Ball,Fish,Pizza
160,8Ball,Fish,Cheeseplant
161,8Ball,Fish,Rubberplant
162,8Ball,Fish,Skull
163,8Ball,Fish,Trailingplant
164,8Ball,Fish,Umbrella
165,8Ball,Fish,Windowday
166,8Ball,Fish,Windownight
167,8Ball,Fish,Wine
168,8Ball,Coffee,Beer
169,8Ball,Coffee,Board
170,8Ball,Coffee,Books
171,8Ball,Coffee,Bookshelf
172,8Ball,Coffee,Boombox
173,8Ball,Coffee,Cap
174,8Ball,Coffee,Fish
175,8Ball,Coffee,Coffee
176,8Ball,Coffee,Flower
177,8Ball,Coffee,Glasses
178,8Ball,Coffee,Guitar
179,8Ball,Coffee,Lamp
180,8Ball,Coffee,Light
181,8Ball,Coffee,Martini
182,8Ball,Coffee,Moneyplant
183,8Ball,Coffee,Pizza
184,8Ball,Coffee,Cheeseplant
185,8Ball,Coffee,Rubberplant
186,8Ball,Coffee,Skull
187,8Ball,Coffee,Trailingplant
188,8Ball,Coffee,Umbrella
189,8Ball,Coffee,Windowday
190,8Ball,Coffee,Windownight
191,8Ball,Coffee,Wine
192,8Ball,Flower,Beer
193,8Ball,Flower,Board
194,8Ball,Flower,Books
195,8Ball,Flower,Bookshelf
196,8Ball,Flower,Boombox
197,8Ball,Flower,Cap
198,8Ball,Flower,Fish
199,8Ball,Flower,Coffee
200,8Ball,Flower,Flower
201,8Ball,Flower,Glasses
202,8Ball,Flower,Guitar
203,8Ball,Flower,Lamp
204,8Ball,Flower,Light
205,8Ball,Flower,Martini
206,8Ball,Flower,Moneyplant
207,8Ball,Flower,Pizza
208,8Ball,Flower,Cheeseplant
209,8Ball,Flower,Rubberplant
210,8Ball,Flower,Skull
211,8Ball,Flower,Trailingplant
212,8Ball,Flower,Umbrella
213,8Ball,Flower,Windowday
214,8Ball,Flower,Windownight
215,8Ball,Flower,Wine
216,8Ball,Glasses,Beer
217,8Ball,Glasses,Board
218,8Ball,Glasses,Books
219,8Ball,Glasses,Bookshelf
220,8Ball,Glasses,Boombox
221,8Ball,Glasses,Cap
222,8Ball,Glasses,Fish
223,8Ball,Glasses,Coffee
224,8Ball,Glasses,Flower
225,8Ball,Glasses,Glasses
226,8Ball,Glasses,Guitar
227,8Ball,Glasses,Lamp
228,8Ball,Glasses,Light
229,8Ball,Glasses,Martini
230,8Ball,Glasses,Moneyplant
231,8Ball,Glasses,Pizza
232,8Ball,Glasses,Cheeseplant
233,8Ball,Glasses,Rubberplant
234,8Ball,Glasses,Skull
235,8Ball,Glasses,Trailingplant
236,8Ball,Glasses,Umbrella
237,8Ball,Glasses,Windowday
238,8Ball,Glasses,Windownight
239,8Ball,Glasses,Wine
240,8Ball,Guitar,Beer
241,8Ball,Guitar,Board
242,8Ball,Guitar,Books
243,8Ball,Guitar,Bookshelf
244,8Ball,Guitar,Boombox
245,8Ball,Guitar,Cap
246,8Ball,Guitar,Fish
247,8Ball,Guitar,Coffee
248,8Ball,Guitar,Flower
249,8Ball,Guitar,Glasses
250,8Ball,Guitar,Guitar
251,8Ball,Guitar,Lamp
252,8Ball,Guitar,Light
253,8Ball,Guitar,Martini
254,8Ball,Guitar,Moneyplant
255,8Ball,Guitar,Pizza
256,8Ball,Guitar,Cheeseplant
257,8Ball,Guitar,Rubberplant
258,8Ball,Guitar,Skull
259,8Ball,Guitar,Trailingplant
260,8Ball,Guitar,Umbrella
261,8Ball,Guitar,Windowday
262,8Ball,Guitar,Windownight
263,8Ball,Guitar,Wine
264,8Ball,Lamp,Beer
265,8Ball,Lamp,Board
266,8Ball,Lamp,Books
267,8Ball,Lamp,Bookshelf
268,8Ball,Lamp,Boombox
269,8Ball,Lamp,Cap
270,8Ball,Lamp,Fish
271,8Ball,Lamp,Coffee
272,8Ball,Lamp,Flower
273,8Ball,Lamp,Glasses
274,8Ball,Lamp,Guitar
275,8Ball,Lamp,Lamp
276,8Ball,Lamp,Light
277,8Ball,Lamp,Martini
278,8Ball,Lamp,Moneyplant
279,8Ball,Lamp,Pizza
280,8Ball,Lamp,Cheeseplant
281,8Ball,Lamp,Rubberplant
282,8Ball,Lamp,Skull
